OBJECTID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, Not Hispanic or Latino Population","White alone, Not Hispanic or Latino Population - Margin of Error","Black or African American alone, Not Hispanic or Latino Population","Black or African American alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native alone, Not Hispanic or Latino Population","American Indian and Alaska Native alone, Not Hispanic or Latino Population - Margin of Error","Asian alone, Not Hispanic or Latino Population","Asian alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race alone, Not Hispanic or Latino Population","Some Other Race alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, Non-Hispanic","Percent of Population that is White alone, Non-Hispanic - Margin of Error","Percent of Population that is Black or African American alone, Non-Hispanic","Percent of Population that is Black or African American alone, Non-Hispanic - Margin of Error","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic","Percent of Population that is American Indian and Alaska Native alone, Non-Hispanic - Margin of Error","Percent of Population that is Asian alone, Non-Hispanic","Percent of Population that is Asian alone, Non-Hispanic - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic","Percent of Population that is Native Hawaiian and Other Pacific Islander alone, Non-Hispanic - Margin of Error","Percent of Population that is Some Other Race alone, Non-Hispanic","Percent of Population that is Some Other Race alone, Non-Hispanic - Margin of Error","Percent of Population that is 2 or More Races, Non-Hispanic","Percent of Population that is 2 or More Races, Non-Hispanic - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Shape_Length,Shape_Area
896,01103005701,85678408,395788,Census Tract 57.01,Alabama,Morgan County,2039,458,1763,385,0,12,33,47,0,12,0,12,0,12,187,173,56,47,86.5,27.08723324,0,0.588523786,1.6,2.27620418,0,0.588523786,0,0.588523786,0,0.588523786,9.2,8.230668512,2.7,2.220965844,57686.87053,126865090.6
897,01133965501,318813418,2171566,Census Tract 9655.01,Alabama,Winston County,2294,333,2238,341,0,12,7,9,0,12,0,12,0,12,49,38,0,12,97.6,4.517579267,0,0.523103749,0.3,0.389819263,0,0.523103749,0,0.523103749,0,0.523103749,2.1,1.627217174,0,0.523103749,253963.861,468428158
898,01133965700,73807706,301632,Census Tract 9657,Alabama,Winston County,3772,450,3455,478,15,20,0,12,0,12,0,12,0,12,41,42,261,171,91.6,6.417124556,0.4,0.528096003,0,0.318133616,0,0.318133616,0,0.318133616,0,0.318133616,1.1,1.105890984,6.9,4.457614289,51510.72168,108802821.2
899,01133965800,184501316,756234,Census Tract 9658,Alabama,Winston County,4030,455,3556,492,142,95,0,12,7,12,16,20,0,12,58,38,251,155,88.2,7.056694217,3.5,2.323509218,0,0.297766749,0.2,0.297120256,0.4,0.49424941,0,0.297766749,1.4,0.928821815,6.2,3.781324887,87165.7078,271334856.7
900,01003010400,737472734,3860543,Census Tract 104,Alabama,Baldwin County,5222,904,4442,867,472,396,48,68,17,19,10,16,0,17,163,118,70,93,85.1,7.668804133,9,7.420115297,0.9,1.292424186,0.3,0.359454213,0.2,0.304597341,0,0.325545768,3.1,2.194111119,1.3,1.765743602,258627.5987,1003732129
901,01003010800,18070804,3938649,Census Tract 108,Alabama,Baldwin County,7781,1008,5025,712,2106,868,0,17,252,227,0,17,86,135,131,131,181,214,64.6,3.706622491,27.1,10.59001352,0,0.218480915,3.2,2.887036242,0,0.218480915,1.1,1.729077307,1.7,1.669401253,2.3,2.733730033,28400.7738,24469639.12
902,01003010903,55586749,272807,Census Tract 109.03,Alabama,Baldwin County,6667,925,4750,699,1582,679,130,80,0,17,0,17,0,17,168,159,37,40,71.2,3.494569495,23.7,9.637697705,1.9,1.169045159,0,0.254987251,0,0.254987251,0,0.254987251,2.5,2.359115416,0.6,0.595008593,39467.89292,75651580.82
903,01003010904,276176721,3607489,Census Tract 109.04,Alabama,Baldwin County,6212,961,5567,923,155,147,53,83,0,17,0,17,0,17,72,77,365,240,89.6,5.344696694,2.5,2.334692934,0.9,1.329588423,0,0.273663876,0,0.273663876,0,0.273663876,1.2,1.226499111,5.9,3.755038506,194815.2115,376051272.5
904,01003010906,39323309,185367,Census Tract 109.06,Alabama,Baldwin County,5337,554,4424,616,129,98,55,94,0,17,0,17,60,98,28,31,641,364,82.9,7.692866213,2.4,1.819015224,1,1.758037518,0,0.31853101,0,0.31853101,1.1,1.832525539,0.5,0.578292021,12,6.705393347,43106.85549,53461089.09
905,01097001800,5437484,2685959,Census Tract 18,Alabama,Mobile County,2500,392,930,276,1445,242,0,12,60,108,0,12,0,12,0,12,65,89,37.2,9.373269314,57.8,3.40054495,0,0.48,2.4,4.30357796,0,0.48,0,0.48,0,0.48,2.6,3.536579847,17560.17389,7384572.166
